
Query: Flye_on_data_17__consensus	DB: RefSeq	SketchLen: 22648	Seqs: 4 	Bases: 4957954	gSize: 4771512	GC: 0.521	File: Flye_on_data_17__consensus
WKID	KID	ANI	SSU	Complt	Contam	Score	Matches	Unique	TaxID	gSize	gSeqs	taxName
99.97%	97.82%	100.00%	99.16%	97.82%	0.03%	20752	22191	0	1124936	4873570	4	Salmonella enterica subsp. enterica serovar Heidelberg str. 41578
78.55%	78.19%	99.15%	99.03%	78.19%	21.45%	13658	17643	0	2116498	4795385	73	Salmonella sp. SEH-2
77.72%	75.63%	99.10%	99.03%	75.63%	22.28%	13178	17217	0	2562450	4902319	50	Salmonella sp. SW39
69.99%	68.68%	98.73%	99.61%	68.68%	30.01%	10990	15564	0	2500543	4861886	3	Salmonella sp. SSDFZ69
68.66%	63.76%	98.65%	99.61%	63.76%	31.34%	10183	14734	0	2500542	5124476	12	Salmonella sp. SSDFZ54
10.90%	10.15%	92.27%	98.58%	10.90%	89.85%	403.2	2299	0	1967587	4440399	47	Salmonella bongori serovar 48:a:-
5.08%	4.39%	89.72%	.	4.39%	94.92%	113.0	1037	0	1408170	5500893	1009	Vibrio parahaemolyticus VIP4-0430
2.80%	2.73%	87.82%	98.00%	2.80%	97.27%	49.11	618	0	656404	4643816	33	Escherichia coli H489
2.73%	2.72%	87.74%	98.07%	2.73%	97.28%	48.26	613	0	981367	4767918	6	Escherichia fergusonii ECD227
2.49%	2.41%	87.45%	97.49%	2.49%	97.59%	40.82	546	0	1169321	4613241	12	Escherichia sp. KTE114
4.10%	1.39%	89.05%	98.64%	1.39%	95.90%	38.85	452	0	545	14065K	1221	Citrobacter koseri
2.49%	1.98%	87.45%	77.26%	1.98%	97.51%	35.15	480	0	1377	5965387	109	Aerococcus viridans
2.28%	2.13%	87.17%	.	2.28%	97.87%	34.40	482	0	2575922	4431519	166	Escherichia sp. MR
2.15%	1.99%	86.98%	98.00%	1.99%	97.85%	31.75	459	0	2082625	5138670	102	Escherichia sp. R11
2.14%	1.83%	86.96%	98.19%	1.83%	97.86%	29.59	433	0	42897	5539827	16393	Shigella flexneri 2a
2.03%	1.93%	86.80%	97.16%	2.03%	98.07%	29.58	438	0	2093873	4553506	129	Escherichia sp. MOD1-EC5451
2.05%	1.89%	86.82%	97.42%	1.89%	97.95%	29.45	436	0	2082630	5168466	97	Escherichia sp. R16
2.42%	1.56%	87.36%	97.10%	1.56%	97.58%	28.60	407	0	1499973	7328353	2136	Escherichia marmotae
2.01%	1.82%	86.77%	97.35%	1.82%	97.99%	28.26	423	0	2163603	5253225	253	Enterobacter sp. EC-NT1
2.05%	1.65%	86.83%	96.84%	1.65%	97.95%	26.45	398	0	1703250	5911697	9	Citrobacter sp. CRE-46

